,State Full Name,County,ICU Beds,Total Population,Population Aged 60+,Hospital Beds,countyFIPS,stateFIPS,Confirmed Cases,State,Deaths
0,Alabama,Autauga,6.0,55036.0,10523.0,85.0,1001.0,1.0,1.0,AL,0.0
1,Alabama,Baldwin,51.0,203360.0,53519.0,738.0,1003.0,1.0,4.0,AL,0.0
2,Georgia,Baldwin,12.0,45527.0,9287.0,738.0,1003.0,1.0,4.0,AL,0.0
3,Alabama,Baldwin,51.0,203360.0,53519.0,738.0,13009.0,13.0,2.0,GA,0.0
4,Georgia,Baldwin,12.0,45527.0,9287.0,738.0,13009.0,13.0,2.0,GA,0.0
5,Alabama,Barbour,5.0,26201.0,6150.0,146.0,,,,,
6,West Virginia,Barbour,0.0,16790.0,4433.0,146.0,,,,,
7,Alabama,Bibb,0.0,22580.0,4773.0,1329.0,13021.0,13.0,4.0,GA,0.0
8,Georgia,Bibb,117.0,153923.0,31993.0,1329.0,13021.0,13.0,4.0,GA,0.0
9,Alabama,Blount,6.0,57667.0,13600.0,511.0,47009.0,47.0,3.0,TN,0.0
10,Tennessee,Blount,16.0,127135.0,32770.0,511.0,47009.0,47.0,3.0,TN,0.0
11,Alabama,Bullock,0.0,10478.0,2371.0,61.0,,,,,
12,Alabama,Butler,7.0,20126.0,5151.0,4554.0,20015.0,20.0,3.0,KS,0.0
13,Iowa,Butler,0.0,14822.0,4297.0,4554.0,20015.0,20.0,3.0,KS,0.0
14,Kansas,Butler,16.0,66260.0,13403.0,4554.0,20015.0,20.0,3.0,KS,0.0
15,Kentucky,Butler,0.0,12735.0,3036.0,4554.0,20015.0,20.0,3.0,KS,0.0
16,Missouri,Butler,14.0,42826.0,10394.0,4554.0,20015.0,20.0,3.0,KS,0.0
17,Nebraska,Butler,0.0,8105.0,2184.0,4554.0,20015.0,20.0,3.0,KS,0.0
18,Ohio,Butler,74.0,375702.0,73222.0,4554.0,20015.0,20.0,3.0,KS,0.0
19,Pennsylvania,Butler,35.0,185984.0,44846.0,4554.0,20015.0,20.0,3.0,KS,0.0
20,Alabama,Butler,7.0,20126.0,5151.0,4554.0,39017.0,39.0,18.0,OH,0.0
21,Iowa,Butler,0.0,14822.0,4297.0,4554.0,39017.0,39.0,18.0,OH,0.0
22,Kansas,Butler,16.0,66260.0,13403.0,4554.0,39017.0,39.0,18.0,OH,0.0
23,Kentucky,Butler,0.0,12735.0,3036.0,4554.0,39017.0,39.0,18.0,OH,0.0
24,Missouri,Butler,14.0,42826.0,10394.0,4554.0,39017.0,39.0,18.0,OH,0.0
25,Nebraska,Butler,0.0,8105.0,2184.0,4554.0,39017.0,39.0,18.0,OH,0.0
26,Ohio,Butler,74.0,375702.0,73222.0,4554.0,39017.0,39.0,18.0,OH,0.0
27,Pennsylvania,Butler,35.0,185984.0,44846.0,4554.0,39017.0,39.0,18.0,OH,0.0
28,Alabama,Butler,7.0,20126.0,5151.0,4554.0,42019.0,42.0,6.0,PA,0.0
29,Iowa,Butler,0.0,14822.0,4297.0,4554.0,42019.0,42.0,6.0,PA,0.0
30,Kansas,Butler,16.0,66260.0,13403.0,4554.0,42019.0,42.0,6.0,PA,0.0
31,Kentucky,Butler,0.0,12735.0,3036.0,4554.0,42019.0,42.0,6.0,PA,0.0
32,Missouri,Butler,14.0,42826.0,10394.0,4554.0,42019.0,42.0,6.0,PA,0.0
33,Nebraska,Butler,0.0,8105.0,2184.0,4554.0,42019.0,42.0,6.0,PA,0.0
34,Ohio,Butler,74.0,375702.0,73222.0,4554.0,42019.0,42.0,6.0,PA,0.0
35,Pennsylvania,Butler,35.0,185984.0,44846.0,4554.0,42019.0,42.0,6.0,PA,0.0
36,Alabama,Calhoun,24.0,115527.0,27115.0,2073.0,1015.0,1.0,2.0,AL,0.0
37,Arkansas,Calhoun,0.0,5194.0,1436.0,2073.0,1015.0,1.0,2.0,AL,0.0
38,Florida,Calhoun,0.0,14458.0,3483.0,2073.0,1015.0,1.0,2.0,AL,0.0
39,Georgia,Calhoun,0.0,6503.0,1362.0,2073.0,1015.0,1.0,2.0,AL,0.0
40,Illinois,Calhoun,0.0,4897.0,1471.0,2073.0,1015.0,1.0,2.0,AL,0.0
41,Iowa,Calhoun,2.0,9814.0,3002.0,2073.0,1015.0,1.0,2.0,AL,0.0
42,Michigan,Calhoun,32.0,134327.0,31227.0,2073.0,1015.0,1.0,2.0,AL,0.0
43,Mississippi,Calhoun,0.0,14617.0,3727.0,2073.0,1015.0,1.0,2.0,AL,0.0
44,South Carolina,Calhoun,0.0,14808.0,4258.0,2073.0,1015.0,1.0,2.0,AL,0.0
45,Texas,Calhoun,6.0,21821.0,4869.0,2073.0,1015.0,1.0,2.0,AL,0.0
46,West Virginia,Calhoun,0.0,7450.0,2279.0,2073.0,1015.0,1.0,2.0,AL,0.0
47,Alabama,Calhoun,24.0,115527.0,27115.0,2073.0,26025.0,26.0,4.0,MI,0.0
48,Arkansas,Calhoun,0.0,5194.0,1436.0,2073.0,26025.0,26.0,4.0,MI,0.0
49,Florida,Calhoun,0.0,14458.0,3483.0,2073.0,26025.0,26.0,4.0,MI,0.0
50,Georgia,Calhoun,0.0,6503.0,1362.0,2073.0,26025.0,26.0,4.0,MI,0.0
51,Illinois,Calhoun,0.0,4897.0,1471.0,2073.0,26025.0,26.0,4.0,MI,0.0
52,Iowa,Calhoun,2.0,9814.0,3002.0,2073.0,26025.0,26.0,4.0,MI,0.0
53,Michigan,Calhoun,32.0,134327.0,31227.0,2073.0,26025.0,26.0,4.0,MI,0.0
54,Mississippi,Calhoun,0.0,14617.0,3727.0,2073.0,26025.0,26.0,4.0,MI,0.0
55,South Carolina,Calhoun,0.0,14808.0,4258.0,2073.0,26025.0,26.0,4.0,MI,0.0
56,Texas,Calhoun,6.0,21821.0,4869.0,2073.0,26025.0,26.0,4.0,MI,0.0
57,West Virginia,Calhoun,0.0,7450.0,2279.0,2073.0,26025.0,26.0,4.0,MI,0.0
58,Alabama,Calhoun,24.0,115527.0,27115.0,2073.0,45017.0,45.0,1.0,SC,0.0
59,Arkansas,Calhoun,0.0,5194.0,1436.0,2073.0,45017.0,45.0,1.0,SC,0.0
60,Florida,Calhoun,0.0,14458.0,3483.0,2073.0,45017.0,45.0,1.0,SC,0.0
