,State,County,ICU Beds,Total Population,Population Aged 60+,Percent of Population Aged 60+,Residents Aged 60+ Per Each ICU Bed,Hospital Beds
0,Alabama,Autauga,6,55036,10523,19.1,1754.0,85.0
1,Alabama,Baldwin,51,203360,53519,26.3,1049.0,738.0
2,Alabama,Barbour,5,26201,6150,23.5,1230.0,146.0
3,Alabama,Bibb,0,22580,4773,21.1,,1329.0
4,Alabama,Blount,6,57667,13600,23.6,2267.0,511.0
5,Alabama,Bullock,0,10478,2371,22.6,,61.0
6,Alabama,Butler,7,20126,5151,25.6,736.0,4554.0
7,Alabama,Calhoun,24,115527,27115,23.5,1130.0,2073.0
8,Alabama,Chambers,0,33895,8501,25.1,,154.0
9,Alabama,Cherokee,0,25855,7513,29.1,,3119.0
10,Alabama,Chilton,6,43805,9429,21.5,1572.0,26.0
11,Alabama,Choctaw,0,13188,3759,28.5,,139.0
12,Alabama,Clarke,0,24625,6134,24.9,,709.0
13,Alabama,Clay,4,13407,3480,26.0,870.0,1765.0
14,Alabama,Cleburne,0,14939,3691,24.7,,25.0
15,Alabama,Coffee,7,51073,11027,21.6,1575.0,439.0
16,Alabama,Colbert,22,54435,14062,25.8,639.0,363.0
17,Alabama,Conecuh,0,12649,3542,28.0,,58.0
18,Alabama,Coosa,0,10955,3145,28.7,,
19,Alabama,Covington,13,37519,10290,27.4,792.0,245.0
20,Alabama,Crenshaw,0,13866,3371,24.3,,93.0
21,Alabama,Cullman,12,81703,19667,24.1,1639.0,185.0
22,Alabama,Dale,6,49393,10498,21.3,1750.0,89.0
23,Alabama,Dallas,18,40755,9436,23.2,524.0,11640.0
24,Alabama,DeKalb,12,71194,15782,22.2,1315.0,4071.0
25,Alabama,Elmore,5,80989,15929,19.7,3186.0,163.0
26,Alabama,Escambia,14,37621,8677,23.1,620.0,2451.0
27,Alabama,Etowah,56,103132,25122,24.4,449.0,739.0
28,Alabama,Fayette,12,16657,4604,27.6,384.0,5331.0
29,Alabama,Franklin,7,31507,7054,22.4,1008.0,12572.0
30,Alabama,Geneva,6,26572,6716,25.3,1119.0,83.0
31,Alabama,Greene,0,8533,2352,27.6,,3460.0
32,Alabama,Hale,0,14995,3945,26.3,,127.0
33,Alabama,Henry,0,17110,4834,28.3,,863.0
34,Alabama,Houston,66,104108,23474,22.5,356.0,1108.0
35,Alabama,Jackson,10,52326,13441,25.7,1344.0,8865.0
